Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752790656;3;3
0xfe;2;6;1752790666;3;3
0xfe;1;6;1752790676;3;3
0xfe;2;6;1752790686;3;3
0xfe;1;6;1752790696;3;3
0xfe;2;6;1752790706;3;3
0xfe;1;6;1752790716;3;3
0xfe;2;6;1752790726;3;3
0xfe;1;6;1752790736;3;3
0xfe;2;6;1752790746;3;3
0xfe;1;6;1752790756;3;3
0xfe;2;6;1752790766;3;3
0xfe;1;6;1752790776;3;3
0xfe;2;6;1752790786;3;3
0xfe;1;6;1752790796;3;3
0xfe;2;6;1752790806;3;3
0xfe;1;6;1752790816;3;3
0xfe;2;6;1752790826;3;3
0xfe;1;6;1752790836;3;3
0xfe;2;6;1752790846;3;3
0xfe;1;6;1752790856;3;3
0xfe;2;6;1752790866;3;3
0xfe;1;6;1752790876;3;3
0xfe;2;6;1752790886;3;3
0xfe;1;6;1752790896;3;3
0xfe;2;6;1752790906;3;3
0xfe;1;6;1752790916;3;3
0xfe;2;6;1752790926;3;3
0xfe;1;6;1752790936;3;3
0xfe;2;6;1752790946;3;3
