Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1745575656;3;3
0xfe;2;6;1745575666;3;3
0xfe;1;6;1745575676;3;3
0xfe;2;6;1745575686;3;3
0xfe;1;6;1745575696;3;3
0xfe;2;6;1745575706;3;3
0xfe;1;6;1745575716;3;3
0xfe;2;6;1745575726;3;3
0xfe;1;6;1745575736;3;3
0xfe;2;6;1745575746;3;3
0xfe;1;6;1745575756;3;3
0xfe;2;6;1745575766;3;3
0xfe;1;6;1745575776;3;3
0xfe;2;6;1745575786;3;3
0xfe;1;6;1745575796;3;3
0xfe;2;6;1745575806;3;3
0xfe;1;6;1745575816;3;3
0xfe;2;6;1745575826;3;3
0xfe;1;6;1745575836;3;3
0xfe;2;6;1745575846;3;3
0xfe;1;6;1745575856;3;3
0xfe;2;6;1745575866;3;3
0xfe;1;6;1745575876;3;3
0xfe;2;6;1745575886;3;3
0xfe;1;6;1745575896;3;3
0xfe;2;6;1745575906;3;3
0xfe;1;6;1745575916;3;3
0xfe;2;6;1745575926;3;3
0xfe;1;6;1745575936;3;3
0xfe;2;6;1745575946;3;3
