Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752089256;3;3
0xfe;2;6;1752089266;3;3
0xfe;1;6;1752089276;3;3
0xfe;2;6;1752089286;3;3
0xfe;1;6;1752089296;3;3
0xfe;2;6;1752089306;3;3
0xfe;1;6;1752089316;3;3
0xfe;2;6;1752089326;3;3
0xfe;1;6;1752089336;3;3
0xfe;2;6;1752089346;3;3
0xfe;1;6;1752089356;3;3
0xfe;2;6;1752089366;3;3
0xfe;1;6;1752089376;3;3
0xfe;2;6;1752089386;3;3
0xfe;1;6;1752089396;3;3
0xfe;2;6;1752089406;3;3
0xfe;1;6;1752089416;3;3
0xfe;2;6;1752089426;3;3
0xfe;1;6;1752089436;3;3
0xfe;2;6;1752089446;3;3
0xfe;1;6;1752089456;3;3
0xfe;2;6;1752089466;3;3
0xfe;1;6;1752089476;3;3
0xfe;2;6;1752089486;3;3
0xfe;1;6;1752089496;3;3
0xfe;2;6;1752089506;3;3
0xfe;1;6;1752089516;3;3
0xfe;2;6;1752089526;3;3
0xfe;1;6;1752089536;3;3
0xfe;2;6;1752089546;3;3
