Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1746968256;3;3
0xfe;2;6;1746968266;3;3
0xfe;1;6;1746968276;3;3
0xfe;2;6;1746968286;3;3
0xfe;1;6;1746968296;3;3
0xfe;2;6;1746968306;3;3
0xfe;1;6;1746968316;3;3
0xfe;2;6;1746968326;3;3
0xfe;1;6;1746968336;3;3
0xfe;2;6;1746968346;3;3
0xfe;1;6;1746968356;3;3
0xfe;2;6;1746968366;3;3
0xfe;1;6;1746968376;3;3
0xfe;2;6;1746968386;3;3
0xfe;1;6;1746968396;3;3
0xfe;2;6;1746968406;3;3
0xfe;1;6;1746968416;3;3
0xfe;2;6;1746968426;3;3
0xfe;1;6;1746968436;3;3
0xfe;2;6;1746968446;3;3
0xfe;1;6;1746968456;3;3
0xfe;2;6;1746968466;3;3
0xfe;1;6;1746968476;3;3
0xfe;2;6;1746968486;3;3
0xfe;1;6;1746968496;3;3
0xfe;2;6;1746968506;3;3
0xfe;1;6;1746968516;3;3
0xfe;2;6;1746968526;3;3
0xfe;1;6;1746968536;3;3
0xfe;2;6;1746968546;3;3
