Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1748633856;3;3
0xfe;2;6;1748633866;3;3
0xfe;1;6;1748633876;3;3
0xfe;2;6;1748633886;3;3
0xfe;1;6;1748633896;3;3
0xfe;2;6;1748633906;3;3
0xfe;1;6;1748633916;3;3
0xfe;2;6;1748633926;3;3
0xfe;1;6;1748633936;3;3
0xfe;2;6;1748633946;3;3
0xfe;1;6;1748633956;3;3
0xfe;2;6;1748633966;3;3
0xfe;1;6;1748633976;3;3
0xfe;2;6;1748633986;3;3
0xfe;1;6;1748633996;3;3
0xfe;2;6;1748634006;3;3
0xfe;1;6;1748634016;3;3
0xfe;2;6;1748634026;3;3
0xfe;1;6;1748634036;3;3
0xfe;2;6;1748634046;3;3
0xfe;1;6;1748634056;3;3
0xfe;2;6;1748634066;3;3
0xfe;1;6;1748634076;3;3
0xfe;2;6;1748634086;3;3
0xfe;1;6;1748634096;3;3
0xfe;2;6;1748634106;3;3
0xfe;1;6;1748634116;3;3
0xfe;2;6;1748634126;3;3
0xfe;1;6;1748634136;3;3
0xfe;2;6;1748634146;3;3
