Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752475656;3;3
0xfe;2;6;1752475666;3;3
0xfe;1;6;1752475676;3;3
0xfe;2;6;1752475686;3;3
0xfe;1;6;1752475696;3;3
0xfe;2;6;1752475706;3;3
0xfe;1;6;1752475716;3;3
0xfe;2;6;1752475726;3;3
0xfe;1;6;1752475736;3;3
0xfe;2;6;1752475746;3;3
0xfe;1;6;1752475756;3;3
0xfe;2;6;1752475766;3;3
0xfe;1;6;1752475776;3;3
0xfe;2;6;1752475786;3;3
0xfe;1;6;1752475796;3;3
0xfe;2;6;1752475806;3;3
0xfe;1;6;1752475816;3;3
0xfe;2;6;1752475826;3;3
0xfe;1;6;1752475836;3;3
0xfe;2;6;1752475846;3;3
0xfe;1;6;1752475856;3;3
0xfe;2;6;1752475866;3;3
0xfe;1;6;1752475876;3;3
0xfe;2;6;1752475886;3;3
0xfe;1;6;1752475896;3;3
0xfe;2;6;1752475906;3;3
0xfe;1;6;1752475916;3;3
0xfe;2;6;1752475926;3;3
0xfe;1;6;1752475936;3;3
0xfe;2;6;1752475946;3;3
