Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1750686156;3;3
0xfe;2;6;1750686166;3;3
0xfe;1;6;1750686176;3;3
0xfe;2;6;1750686186;3;3
0xfe;1;6;1750686196;3;3
0xfe;2;6;1750686206;3;3
0xfe;1;6;1750686216;3;3
0xfe;2;6;1750686226;3;3
0xfe;1;6;1750686236;3;3
0xfe;2;6;1750686246;3;3
0xfe;1;6;1750686256;3;3
0xfe;2;6;1750686266;3;3
0xfe;1;6;1750686276;3;3
0xfe;2;6;1750686286;3;3
0xfe;1;6;1750686296;3;3
0xfe;2;6;1750686306;3;3
0xfe;1;6;1750686316;3;3
0xfe;2;6;1750686326;3;3
0xfe;1;6;1750686336;3;3
0xfe;2;6;1750686346;3;3
0xfe;1;6;1750686356;3;3
0xfe;2;6;1750686366;3;3
0xfe;1;6;1750686376;3;3
0xfe;2;6;1750686386;3;3
0xfe;1;6;1750686396;3;3
0xfe;2;6;1750686406;3;3
0xfe;1;6;1750686416;3;3
0xfe;2;6;1750686426;3;3
0xfe;1;6;1750686436;3;3
0xfe;2;6;1750686446;3;3
