Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1750460856;3;3
0xfe;2;6;1750460866;3;3
0xfe;1;6;1750460876;3;3
0xfe;2;6;1750460886;3;3
0xfe;1;6;1750460896;3;3
0xfe;2;6;1750460906;3;3
0xfe;1;6;1750460916;3;3
0xfe;2;6;1750460926;3;3
0xfe;1;6;1750460936;3;3
0xfe;2;6;1750460946;3;3
0xfe;1;6;1750460956;3;3
0xfe;2;6;1750460966;3;3
0xfe;1;6;1750460976;3;3
0xfe;2;6;1750460986;3;3
0xfe;1;6;1750460996;3;3
0xfe;2;6;1750461006;3;3
0xfe;1;6;1750461016;3;3
0xfe;2;6;1750461026;3;3
0xfe;1;6;1750461036;3;3
0xfe;2;6;1750461046;3;3
0xfe;1;6;1750461056;3;3
0xfe;2;6;1750461066;3;3
0xfe;1;6;1750461076;3;3
0xfe;2;6;1750461086;3;3
0xfe;1;6;1750461096;3;3
0xfe;2;6;1750461106;3;3
0xfe;1;6;1750461116;3;3
0xfe;2;6;1750461126;3;3
0xfe;1;6;1750461136;3;3
0xfe;2;6;1750461146;3;3
