Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752568956;3;3
0xfe;2;6;1752568966;3;3
0xfe;1;6;1752568976;3;3
0xfe;2;6;1752568986;3;3
0xfe;1;6;1752568996;3;3
0xfe;2;6;1752569006;3;3
0xfe;1;6;1752569016;3;3
0xfe;2;6;1752569026;3;3
0xfe;1;6;1752569036;3;3
0xfe;2;6;1752569046;3;3
0xfe;1;6;1752569056;3;3
0xfe;2;6;1752569066;3;3
0xfe;1;6;1752569076;3;3
0xfe;2;6;1752569086;3;3
0xfe;1;6;1752569096;3;3
0xfe;2;6;1752569106;3;3
0xfe;1;6;1752569116;3;3
0xfe;2;6;1752569126;3;3
0xfe;1;6;1752569136;3;3
0xfe;2;6;1752569146;3;3
0xfe;1;6;1752569156;3;3
0xfe;2;6;1752569166;3;3
0xfe;1;6;1752569176;3;3
0xfe;2;6;1752569186;3;3
0xfe;1;6;1752569196;3;3
0xfe;2;6;1752569206;3;3
0xfe;1;6;1752569216;3;3
0xfe;2;6;1752569226;3;3
0xfe;1;6;1752569236;3;3
0xfe;2;6;1752569246;3;3
