Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1747678956;3;3
0xfe;2;6;1747678966;3;3
0xfe;1;6;1747678976;3;3
0xfe;2;6;1747678986;3;3
0xfe;1;6;1747678996;3;3
0xfe;2;6;1747679006;3;3
0xfe;1;6;1747679016;3;3
0xfe;2;6;1747679026;3;3
0xfe;1;6;1747679036;3;3
0xfe;2;6;1747679046;3;3
0xfe;1;6;1747679056;3;3
0xfe;2;6;1747679066;3;3
0xfe;1;6;1747679076;3;3
0xfe;2;6;1747679086;3;3
0xfe;1;6;1747679096;3;3
0xfe;2;6;1747679106;3;3
0xfe;1;6;1747679116;3;3
0xfe;2;6;1747679126;3;3
0xfe;1;6;1747679136;3;3
0xfe;2;6;1747679146;3;3
0xfe;1;6;1747679156;3;3
0xfe;2;6;1747679166;3;3
0xfe;1;6;1747679176;3;3
0xfe;2;6;1747679186;3;3
0xfe;1;6;1747679196;3;3
0xfe;2;6;1747679206;3;3
0xfe;1;6;1747679216;3;3
0xfe;2;6;1747679226;3;3
0xfe;1;6;1747679236;3;3
0xfe;2;6;1747679246;3;3
