Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1746443556;3;3
0xfe;2;6;1746443566;3;3
0xfe;1;6;1746443576;3;3
0xfe;2;6;1746443586;3;3
0xfe;1;6;1746443596;3;3
0xfe;2;6;1746443606;3;3
0xfe;1;6;1746443616;3;3
0xfe;2;6;1746443626;3;3
0xfe;1;6;1746443636;3;3
0xfe;2;6;1746443646;3;3
0xfe;1;6;1746443656;3;3
0xfe;2;6;1746443666;3;3
0xfe;1;6;1746443676;3;3
0xfe;2;6;1746443686;3;3
0xfe;1;6;1746443696;3;3
0xfe;2;6;1746443706;3;3
0xfe;1;6;1746443716;3;3
0xfe;2;6;1746443726;3;3
0xfe;1;6;1746443736;3;3
0xfe;2;6;1746443746;3;3
0xfe;1;6;1746443756;3;3
0xfe;2;6;1746443766;3;3
0xfe;1;6;1746443776;3;3
0xfe;2;6;1746443786;3;3
0xfe;1;6;1746443796;3;3
0xfe;2;6;1746443806;3;3
0xfe;1;6;1746443816;3;3
0xfe;2;6;1746443826;3;3
0xfe;1;6;1746443836;3;3
0xfe;2;6;1746443846;3;3
