Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1750211856;3;3
0xfe;2;6;1750211866;3;3
0xfe;1;6;1750211876;3;3
0xfe;2;6;1750211886;3;3
0xfe;1;6;1750211896;3;3
0xfe;2;6;1750211906;3;3
0xfe;1;6;1750211916;3;3
0xfe;2;6;1750211926;3;3
0xfe;1;6;1750211936;3;3
0xfe;2;6;1750211946;3;3
0xfe;1;6;1750211956;3;3
0xfe;2;6;1750211966;3;3
0xfe;1;6;1750211976;3;3
0xfe;2;6;1750211986;3;3
0xfe;1;6;1750211996;3;3
0xfe;2;6;1750212006;3;3
0xfe;1;6;1750212016;3;3
0xfe;2;6;1750212026;3;3
0xfe;1;6;1750212036;3;3
0xfe;2;6;1750212046;3;3
0xfe;1;6;1750212056;3;3
0xfe;2;6;1750212066;3;3
0xfe;1;6;1750212076;3;3
0xfe;2;6;1750212086;3;3
0xfe;1;6;1750212096;3;3
0xfe;2;6;1750212106;3;3
0xfe;1;6;1750212116;3;3
0xfe;2;6;1750212126;3;3
0xfe;1;6;1750212136;3;3
0xfe;2;6;1750212146;3;3
