Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1753725456;3;3
0xfe;2;6;1753725466;3;3
0xfe;1;6;1753725476;3;3
0xfe;2;6;1753725486;3;3
0xfe;1;6;1753725496;3;3
0xfe;2;6;1753725506;3;3
0xfe;1;6;1753725516;3;3
0xfe;2;6;1753725526;3;3
0xfe;1;6;1753725536;3;3
0xfe;2;6;1753725546;3;3
0xfe;1;6;1753725556;3;3
0xfe;2;6;1753725566;3;3
0xfe;1;6;1753725576;3;3
0xfe;2;6;1753725586;3;3
0xfe;1;6;1753725596;3;3
0xfe;2;6;1753725606;3;3
0xfe;1;6;1753725616;3;3
0xfe;2;6;1753725626;3;3
0xfe;1;6;1753725636;3;3
0xfe;2;6;1753725646;3;3
0xfe;1;6;1753725656;3;3
0xfe;2;6;1753725666;3;3
0xfe;1;6;1753725676;3;3
0xfe;2;6;1753725686;3;3
0xfe;1;6;1753725696;3;3
0xfe;2;6;1753725706;3;3
0xfe;1;6;1753725716;3;3
0xfe;2;6;1753725726;3;3
0xfe;1;6;1753725736;3;3
0xfe;2;6;1753725746;3;3
