Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752625956;3;3
0xfe;2;6;1752625966;3;3
0xfe;1;6;1752625976;3;3
0xfe;2;6;1752625986;3;3
0xfe;1;6;1752625996;3;3
0xfe;2;6;1752626006;3;3
0xfe;1;6;1752626016;3;3
0xfe;2;6;1752626026;3;3
0xfe;1;6;1752626036;3;3
0xfe;2;6;1752626046;3;3
0xfe;1;6;1752626056;3;3
0xfe;2;6;1752626066;3;3
0xfe;1;6;1752626076;3;3
0xfe;2;6;1752626086;3;3
0xfe;1;6;1752626096;3;3
0xfe;2;6;1752626106;3;3
0xfe;1;6;1752626116;3;3
0xfe;2;6;1752626126;3;3
0xfe;1;6;1752626136;3;3
0xfe;2;6;1752626146;3;3
0xfe;1;6;1752626156;3;3
0xfe;2;6;1752626166;3;3
0xfe;1;6;1752626176;3;3
0xfe;2;6;1752626186;3;3
0xfe;1;6;1752626196;3;3
0xfe;2;6;1752626206;3;3
0xfe;1;6;1752626216;3;3
0xfe;2;6;1752626226;3;3
0xfe;1;6;1752626236;3;3
0xfe;2;6;1752626246;3;3
