Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1748137656;3;3
0xfe;2;6;1748137666;3;3
0xfe;1;6;1748137676;3;3
0xfe;2;6;1748137686;3;3
0xfe;1;6;1748137696;3;3
0xfe;2;6;1748137706;3;3
0xfe;1;6;1748137716;3;3
0xfe;2;6;1748137726;3;3
0xfe;1;6;1748137736;3;3
0xfe;2;6;1748137746;3;3
0xfe;1;6;1748137756;3;3
0xfe;2;6;1748137766;3;3
0xfe;1;6;1748137776;3;3
0xfe;2;6;1748137786;3;3
0xfe;1;6;1748137796;3;3
0xfe;2;6;1748137806;3;3
0xfe;1;6;1748137816;3;3
0xfe;2;6;1748137826;3;3
0xfe;1;6;1748137836;3;3
0xfe;2;6;1748137846;3;3
0xfe;1;6;1748137856;3;3
0xfe;2;6;1748137866;3;3
0xfe;1;6;1748137876;3;3
0xfe;2;6;1748137886;3;3
0xfe;1;6;1748137896;3;3
0xfe;2;6;1748137906;3;3
0xfe;1;6;1748137916;3;3
0xfe;2;6;1748137926;3;3
0xfe;1;6;1748137936;3;3
0xfe;2;6;1748137946;3;3
