Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1749228756;3;3
0xfe;2;6;1749228766;3;3
0xfe;1;6;1749228776;3;3
0xfe;2;6;1749228786;3;3
0xfe;1;6;1749228796;3;3
0xfe;2;6;1749228806;3;3
0xfe;1;6;1749228816;3;3
0xfe;2;6;1749228826;3;3
0xfe;1;6;1749228836;3;3
0xfe;2;6;1749228846;3;3
0xfe;1;6;1749228856;3;3
0xfe;2;6;1749228866;3;3
0xfe;1;6;1749228876;3;3
0xfe;2;6;1749228886;3;3
0xfe;1;6;1749228896;3;3
0xfe;2;6;1749228906;3;3
0xfe;1;6;1749228916;3;3
0xfe;2;6;1749228926;3;3
0xfe;1;6;1749228936;3;3
0xfe;2;6;1749228946;3;3
0xfe;1;6;1749228956;3;3
0xfe;2;6;1749228966;3;3
0xfe;1;6;1749228976;3;3
0xfe;2;6;1749228986;3;3
0xfe;1;6;1749228996;3;3
0xfe;2;6;1749229006;3;3
0xfe;1;6;1749229016;3;3
0xfe;2;6;1749229026;3;3
0xfe;1;6;1749229036;3;3
0xfe;2;6;1749229046;3;3
