Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752667656;3;3
0xfe;2;6;1752667666;3;3
0xfe;1;6;1752667676;3;3
0xfe;2;6;1752667686;3;3
0xfe;1;6;1752667696;3;3
0xfe;2;6;1752667706;3;3
0xfe;1;6;1752667716;3;3
0xfe;2;6;1752667726;3;3
0xfe;1;6;1752667736;3;3
0xfe;2;6;1752667746;3;3
0xfe;1;6;1752667756;3;3
0xfe;2;6;1752667766;3;3
0xfe;1;6;1752667776;3;3
0xfe;2;6;1752667786;3;3
0xfe;1;6;1752667796;3;3
0xfe;2;6;1752667806;3;3
0xfe;1;6;1752667816;3;3
0xfe;2;6;1752667826;3;3
0xfe;1;6;1752667836;3;3
0xfe;2;6;1752667846;3;3
0xfe;1;6;1752667856;3;3
0xfe;2;6;1752667866;3;3
0xfe;1;6;1752667876;3;3
0xfe;2;6;1752667886;3;3
0xfe;1;6;1752667896;3;3
0xfe;2;6;1752667906;3;3
0xfe;1;6;1752667916;3;3
0xfe;2;6;1752667926;3;3
0xfe;1;6;1752667936;3;3
0xfe;2;6;1752667946;3;3
