Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1753210356;3;3
0xfe;2;6;1753210366;3;3
0xfe;1;6;1753210376;3;3
0xfe;2;6;1753210386;3;3
0xfe;1;6;1753210396;3;3
0xfe;2;6;1753210406;3;3
0xfe;1;6;1753210416;3;3
0xfe;2;6;1753210426;3;3
0xfe;1;6;1753210436;3;3
0xfe;2;6;1753210446;3;3
0xfe;1;6;1753210456;3;3
0xfe;2;6;1753210466;3;3
0xfe;1;6;1753210476;3;3
0xfe;2;6;1753210486;3;3
0xfe;1;6;1753210496;3;3
0xfe;2;6;1753210506;3;3
0xfe;1;6;1753210516;3;3
0xfe;2;6;1753210526;3;3
0xfe;1;6;1753210536;3;3
0xfe;2;6;1753210546;3;3
0xfe;1;6;1753210556;3;3
0xfe;2;6;1753210566;3;3
0xfe;1;6;1753210576;3;3
0xfe;2;6;1753210586;3;3
0xfe;1;6;1753210596;3;3
0xfe;2;6;1753210606;3;3
0xfe;1;6;1753210616;3;3
0xfe;2;6;1753210626;3;3
0xfe;1;6;1753210636;3;3
0xfe;2;6;1753210646;3;3
