Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1745996556;3;3
0xfe;2;6;1745996566;3;3
0xfe;1;6;1745996576;3;3
0xfe;2;6;1745996586;3;3
0xfe;1;6;1745996596;3;3
0xfe;2;6;1745996606;3;3
0xfe;1;6;1745996616;3;3
0xfe;2;6;1745996626;3;3
0xfe;1;6;1745996636;3;3
0xfe;2;6;1745996646;3;3
0xfe;1;6;1745996656;3;3
0xfe;2;6;1745996666;3;3
0xfe;1;6;1745996676;3;3
0xfe;2;6;1745996686;3;3
0xfe;1;6;1745996696;3;3
0xfe;2;6;1745996706;3;3
0xfe;1;6;1745996716;3;3
0xfe;2;6;1745996726;3;3
0xfe;1;6;1745996736;3;3
0xfe;2;6;1745996746;3;3
0xfe;1;6;1745996756;3;3
0xfe;2;6;1745996766;3;3
0xfe;1;6;1745996776;3;3
0xfe;2;6;1745996786;3;3
0xfe;1;6;1745996796;3;3
0xfe;2;6;1745996806;3;3
0xfe;1;6;1745996816;3;3
0xfe;2;6;1745996826;3;3
0xfe;1;6;1745996836;3;3
0xfe;2;6;1745996846;3;3
