Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1752741156;3;3
0xfe;2;6;1752741166;3;3
0xfe;1;6;1752741176;3;3
0xfe;2;6;1752741186;3;3
0xfe;1;6;1752741196;3;3
0xfe;2;6;1752741206;3;3
0xfe;1;6;1752741216;3;3
0xfe;2;6;1752741226;3;3
0xfe;1;6;1752741236;3;3
0xfe;2;6;1752741246;3;3
0xfe;1;6;1752741256;3;3
0xfe;2;6;1752741266;3;3
0xfe;1;6;1752741276;3;3
0xfe;2;6;1752741286;3;3
0xfe;1;6;1752741296;3;3
0xfe;2;6;1752741306;3;3
0xfe;1;6;1752741316;3;3
0xfe;2;6;1752741326;3;3
0xfe;1;6;1752741336;3;3
0xfe;2;6;1752741346;3;3
0xfe;1;6;1752741356;3;3
0xfe;2;6;1752741366;3;3
0xfe;1;6;1752741376;3;3
0xfe;2;6;1752741386;3;3
0xfe;1;6;1752741396;3;3
0xfe;2;6;1752741406;3;3
0xfe;1;6;1752741416;3;3
0xfe;2;6;1752741426;3;3
0xfe;1;6;1752741436;3;3
0xfe;2;6;1752741446;3;3
