Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1751375256;3;3
0xfe;2;6;1751375266;3;3
0xfe;1;6;1751375276;3;3
0xfe;2;6;1751375286;3;3
0xfe;1;6;1751375296;3;3
0xfe;2;6;1751375306;3;3
0xfe;1;6;1751375316;3;3
0xfe;2;6;1751375326;3;3
0xfe;1;6;1751375336;3;3
0xfe;2;6;1751375346;3;3
0xfe;1;6;1751375356;3;3
0xfe;2;6;1751375366;3;3
0xfe;1;6;1751375376;3;3
0xfe;2;6;1751375386;3;3
0xfe;1;6;1751375396;3;3
0xfe;2;6;1751375406;3;3
0xfe;1;6;1751375416;3;3
0xfe;2;6;1751375426;3;3
0xfe;1;6;1751375436;3;3
0xfe;2;6;1751375446;3;3
0xfe;1;6;1751375456;3;3
0xfe;2;6;1751375466;3;3
0xfe;1;6;1751375476;3;3
0xfe;2;6;1751375486;3;3
0xfe;1;6;1751375496;3;3
0xfe;2;6;1751375506;3;3
0xfe;1;6;1751375516;3;3
0xfe;2;6;1751375526;3;3
0xfe;1;6;1751375536;3;3
0xfe;2;6;1751375546;3;3
